reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star,product_name,brand,price,features,specification
Testimony,its working perfectly,The product can be a little bigger than this and come with camera,15-08-2024,3 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Sandra,good phone,"Last longer when charged 
And very portable",02-08-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
AGBOOLA TAIWO,itel,Good product,01-08-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Olise,I like it,Is  not bad,30-07-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Rita Doyinsola,The battery is strong,Good,29-07-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Chinenye,I like it,Very nice,23-07-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Iv tertese,I like it,Good for calls,22-07-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Sunday,battery,It has a lasting ????,12-07-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Humphrey,The Beauty,Strong and durable,28-06-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Yemi azeez,Good product,"I love everything about this phone, it even has an mp3 player when you Insert memory card.",14-06-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Abimbola SALIU,Not recommend,The phone is just going off by itself even when the battery is full,10-06-2024,1 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Ester Ogundipe,I like it,It’s affordability and functions,07-06-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
monsuru,its ok,It's good for the price,31-05-2024,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Olayiwola Yetunde morenikeji mi,"I love it,it's so beautiful and portable","The battery is okay,the only thing is that the phone didn't have any game on it,but I'm ok with that because I know this before I got.",31-05-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Chukwunonso,good phone,Quality,27-05-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Ahmani,Good product,Works fine and was delivered on time.,27-05-2024,4 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Damilare,I like it,The phone is quite okay with good battery,19-05-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
Tee dot,Strong battery,Not bad,13-05-2024,5 out of 5,itel 2163 Wireless FM Torchlight Dual SIM - Black,,12990,Wireless FMDual SIMBright TorchMicro USB Charging Port1000mAh Battery with Super Battery modeExpandable memory upto 32GBLoud Speaker,SKU: IT724MP03EW9KNAFAMZProduct Line: Bafur StoreModel: 2163 TorchlightWeight (kg): 0.1Color: BlackMain Material: N/AProduct Type: Cellphones
